

Signal Name,Description I/O Standard,Cyclone V GX Pin Number
HSMC_CLKIN0,Dedicated clock input 2.5-V,PIN_N9
HSMC_CLKIN_n1,LVDS RX or CMOS I/O or differential clock input 2.5-V or LVDS,PIN_G14
HSMC_CLKIN_n2,LVDS RX or CMOS I/O or differential clock input 2.5-V or LVDS,PIN_K9
HSMC_CLKIN_p1,LVDS RX or CMOS I/O or differential clock input 2.5-V or LVDS,PIN_G15
HSMC_CLKIN_p2,LVDS RX or CMOS I/O or differential clock input 2.5-V or LVDS,PIN_L8
HSMC_CLKOUT0,Dedicated clock output 2.5-V,PIN_A7
HSMC_CLKOUT_n1,LVDS TX or CMOS I/O or differential clock input/output 2.5-V or LVDS,PIN_A18
HSMC_CLKOUT_n2,LVDS TX or CMOS I/O or differential clock input/output 2.5-V or LVDS,PIN_A16
HSMC_CLKOUT_p1,LVDS TX or CMOS I/O or differential clock input/output 2.5-V or LVDS,PIN_A19
HSMC_CLKOUT_p2,LVDS TX or CMOS I/O or differential clock input/output 2.5-V or LVDS,PIN_A17
HSMC_D0,LVDS TX or CMOS I/O 2.5-V,PIN_D11
HSMC_D1,LVDS RX or CMOS I/O 2.5-V,PIN_H14
HSMC_D2,LVDS TX or CMOS I/O 2.5-V,PIN_D12
HSMC_D3,LVDS RX or CMOS I/O 2.5-V,PIN_H13
I2C_SCL,I2C Bus Clock 2.5-V,PIN_B7
I2C_SDA,I2C Bus Data 2.5-V,PIN_G11
HSMC_GXB_RX_p0,Transceiver RX bit 0 1.5-V PCML,PIN_AD2
HSMC_GXB_RX_p1,Transceiver RX bit 1 1.5-V PCML,PIN_AB2
HSMC_GXB_RX_p2,Transceiver RX bit 2 1.5-V PCML,PIN_Y2
HSMC_GXB_RX_p3,Transceiver RX bit 3 1.5-V PCML,PIN_V2
HSMC_GXB_TX_p0,Transceiver TX bit 0 1.5-V PCML,PIN_AE4
HSMC_GXB_TX_p1,Transceiver TX bit 1 1.5-V PCML,PIN_AC4
HSMC_GXB_TX_p2,Transceiver TX bit 2 1.5-V PCML,PIN_AA4
HSMC_GXB_TX_p3,Transceiver TX bit 3 1.5-V PCML,PIN_W4
HSMC_GXB_RX_n0,Transceiver RX bit 0 1.5-V PCML,PIN_AD1
HSMC_GXB_RX_n1,Transceiver RX bit 1 1.5-V PCML,PIN_AB1
HSMC_GXB_RX_n2,Transceiver RX bit 2 1.5-V PCML,PIN_Y1
HSMC_GXB_RX_n3,Transceiver RX bit 3 1.5-V PCML,PIN_V1
HSMC_GXB_TX_n0,Transceiver TX bit 0 1.5-V PCML,PIN_AE3
HSMC_GXB_TX_n1,Transceiver TX bit 1 1.5-V PCML,PIN_AC3
HSMC_GXB_TX_n2,Transceiver TX bit 2 1.5-V PCML,PIN_AA3
HSMC_GXB_TX_n3,Transceiver TX bit 3 1.5-V PCML,PIN_W3
HSMC_RX_n0,LVDS RX bit 0n or CMOS I/O LVDS or 2.5-V,PIN_M12
